Study,Domain 1,Domain 2,Domain 3,Domain 4
[7],Low,Low,Some Concerns,Some Concerns
[8],Low,Low,Low,No Information
[9],Low,Low,Low,No Information
[10],Low,Low,Low,Some Concerns
[11],Low,Low,Low,Some Concerns
[12],Low,Low,Low,High
[13],Low,Low,Low,Some Concerns
[14],Low,Low,Low,Some Concerns
[15],Low,Low,Low,Some Concerns
[16],Low,Low,Low,Some Concerns
[17],Low,Low,Low,Some Concerns
[18],Low,Low,Low,No Information
[19],Low,Low,Low,Some Concerns
[20],Some Concerns,Low,Low,Some Concerns
[21],Low,Low,Low,No Information
[22],Some Concerns,Low,Some Concerns,No Information
[23],Low,Low,Low,Some Concerns
[24],Low,Low,Low,Some Concerns
[25],Low,Low,Low,Some Concerns
[26],Low,Low,Low,No Information
[27],Low,Low,Low,No Information
[28],Low,Low,Low,No Information
[29],Low,Low,Low,Some Concerns
[30],Low,Low,No Information,High
[31],Low,Low,Some Concerns,High
[32],Low,Low,Some Concerns,No Information
[33],Low,Low,Low,Low
[34],Low,Low,Low,Low
[35],Low,Low,Low,Some Concerns
[36],Low,No Information,Low,No Information

